2021-08-06 18:29:00.6365 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Room with id = 1 was succesfully selected from DB 

2021-08-06 18:29:02.5856 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| Selecting the list of all rooms 

2021-08-06 18:29:02.6086 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| List of all rooms was succesfully selected from DB 

2021-08-06 18:29:03.5316 | Nix_Hotel.WEB.Controllers.RoomController.Edit | INFO | |ROOM| Selecting room with id = 2 for editing 

2021-08-06 18:29:04.5738 | Nix_Hotel.WEB.Controllers.RoomController.Edit | INFO | |ROOM| Editing room with id = 2 

2021-08-06 18:29:04.5768 | Nix_Hotel.WEB.Controllers.RoomController.Edit | INFO | |ROOM| Room with id = 2 edited succesfully 

2021-08-06 18:29:04.5768 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Selecting room with id = 2 

2021-08-06 18:29:04.5907 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Room with id = 2 was succesfully selected from DB 

2021-08-06 18:29:05.3467 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| Selecting the list of all rooms 

2021-08-06 18:29:05.3467 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| List of all rooms was succesfully selected from DB 

2021-08-06 18:29:22.0224 | Nix_Hotel.WEB.Controllers.BookingController.Add | INFO | |BOOKING| Trying to create new booking 

2021-08-06 18:29:35.3902 | Nix_Hotel.WEB.Controllers.BookingController.ViewAll | INFO | |BOOKING| Selecting the list of all bookings 

2021-08-06 18:29:35.4352 | Nix_Hotel.WEB.Controllers.BookingController.ViewAll | INFO | |BOOKING| List of all bookings was succesfully selected from DB 

2021-08-06 18:39:25.8147 | Nix_Hotel.WEB.Controllers.BookingController.ViewAll | INFO | |BOOKING| Selecting the list of all bookings 

2021-08-06 18:39:29.2940 | Nix_Hotel.WEB.Controllers.BookingController.ViewAll | INFO | |BOOKING| List of all bookings was succesfully selected from DB 

2021-08-06 18:39:33.4573 | Nix_Hotel.WEB.Controllers.BookingController.Gain | INFO | |BOOKING| Trying to calculate gain 

2021-08-06 18:39:33.4573 | Nix_Hotel.WEB.Controllers.BookingController.Gain | INFO | |BOOKING| Can't calculate gain, Требуется поле Month. 

2021-08-06 18:39:47.7545 | Nix_Hotel.WEB.Controllers.BookingController.Gain | INFO | |BOOKING| Trying to calculate gain 

2021-08-06 18:43:13.3225 | Nix_Hotel.WEB.Controllers.BookingController.Gain | INFO | |BOOKING| Trying to calculate gain 

2021-08-06 18:43:13.3485 | Nix_Hotel.WEB.Controllers.BookingController.Gain | INFO | |BOOKING| Can't calculate gain, Требуется поле Month. 

2021-08-06 18:43:16.0488 | Nix_Hotel.WEB.Controllers.BookingController.Gain | INFO | |BOOKING| Trying to calculate gain 

2021-08-06 18:43:16.0488 | Nix_Hotel.WEB.Controllers.BookingController.Gain | INFO | |BOOKING| Can't calculate gain, Требуется поле Year. 

2021-08-06 18:43:19.4718 | Nix_Hotel.WEB.Controllers.BookingController.Gain | INFO | |BOOKING| Trying to calculate gain 

2021-08-06 18:43:19.4718 | Nix_Hotel.WEB.Controllers.BookingController.Gain | INFO | |BOOKING| Can't calculate gain, Поле Year должно иметь значение между 2000 и 2100. 

2021-08-06 18:43:23.6029 | Nix_Hotel.WEB.Controllers.BookingController.Gain | INFO | |BOOKING| Trying to calculate gain 

2021-08-06 18:43:23.6029 | Nix_Hotel.WEB.Controllers.BookingController.Gain | INFO | |BOOKING| Gain for Year = 2002, Month = 5 succesfully calculated 

2021-08-06 18:43:30.4863 | Nix_Hotel.WEB.Controllers.BookingController.Gain | INFO | |BOOKING| Trying to calculate gain 

2021-08-06 18:43:30.4863 | Nix_Hotel.WEB.Controllers.BookingController.Gain | INFO | |BOOKING| Gain for Year = 2021, Month = 5 succesfully calculated 

2021-08-06 18:43:33.5817 | Nix_Hotel.WEB.Controllers.BookingController.Gain | INFO | |BOOKING| Trying to calculate gain 

2021-08-06 18:43:33.5817 | Nix_Hotel.WEB.Controllers.BookingController.Gain | INFO | |BOOKING| Gain for Year = 2021, Month = 7 succesfully calculated 

2021-08-06 18:43:34.9787 | Nix_Hotel.WEB.Controllers.BookingController.Gain | INFO | |BOOKING| Trying to calculate gain 

2021-08-06 18:43:34.9807 | Nix_Hotel.WEB.Controllers.BookingController.Gain | INFO | |BOOKING| Gain for Year = 2021, Month = 8 succesfully calculated 

2021-08-06 18:58:43.9615 | Nix_Hotel.WEB.Controllers.BookingController.ViewAll | INFO | |BOOKING| Selecting the list of all bookings 

2021-08-06 18:58:46.9406 | Nix_Hotel.WEB.Controllers.BookingController.ViewAll | INFO | |BOOKING| List of all bookings was succesfully selected from DB 

2021-08-06 18:58:51.4190 | Nix_Hotel.WEB.Controllers.BookingController.View | INFO | |BOOKING| Selecting booking with id = 1 

2021-08-06 18:58:51.5980 | Nix_Hotel.WEB.Controllers.BookingController.View | INFO | |BOOKING| Booking with id = 1 was succesfully selected from DB 

